SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
44-5_C1_Sulf-1-1 	PYRITE	SULFIDE	0.056	0	0	0.005	0	0.007	0	0	0	0	51.318	0	0	46.031	0	0	0	0	0
44-5_C1_Sulf-1-2 	PYRITE	SULFIDE	0.031	0	0	0.011	0	0.047	0.097	0	0	0	51.575	0.003	0	46.415	0	0.016	0	0	0
44-5_C1_Sulf-1-3 	PYRITE	SULFIDE	0	0	0	0.026	0.009	0.013	0.117	0	0.003	0	51.01	0.031	0	46.384	0.028	0.096	0	0	0
44-5_C1_Sulf-1-4 	PYRITE	SULFIDE	0	0	0	0.002	0.002	0.061	0	0	0	0	51.361	0.02	0	46.135	0.015	0	0	0	0
44-5_C1_Sulf-1-5 	PYRITE	SULFIDE	0	0	0	0	0	0	0.17	0	0	0	51.236	0	0	45.559	0	0.012	0	0	0
44-5_C1_Sulf-1-6 	PYRITE	SULFIDE	0	0	0.042	0.014	0	0.005	0	0	0	0	51.234	0	0	46.249	0.025	0.046	0	0	0
47-6_C1_Sulf-1-1 	PYRITE	SULFIDE	0.021	0.001	0.008	0	0	0.009	0.096	0	0	0	47.471	0	0	44.79	0	2.11	0	0	0
47-6_C1_Sulf-1-2 	PYRITE	SULFIDE	0.001	0	0	0.004	0	0	0.033	0	0	0	53.295	0.019	0	46.206	0	0	0	0	0
47-6_C1_Sulf-2-1 	PYRITE	SULFIDE	0.009	0.021	0.061	0.001	0.012	0.038	0.109	0	0	0	50.301	0.022	0	47.063	0.005	0.669	0	0	0
47-6_C1_Sulf-2-2 	PYRITE	SULFIDE	0	0	0.004	0.009	0	0.06	0	0	0.005	0	49.078	0.006	0	46.298	0	1.061	0	0	0
47-6_C1_Sulf-3-1 	PYRITE	SULFIDE	0	0	0	0.001	0.003	0	0	0	0.001	0	53.232	0.006	0	46.777	0	0.006	0	0	0
47-6_C1_Sulf-3-2 	PYRITE	SULFIDE	0.027	0	0	0.023	0.015	0	0	0	0	0	52.107	0.039	0	46.945	0.006	0	0	0	0
47-6_C1_Sulf-3-3 	PYRITE	SULFIDE	0	0	0.044	0.018	0	0.078	0.077	0	0.013	0	47.811	0.058	0	45.954	0.047	1.213	0	0	0
47-6_C1_Sulf-4-1 	PYRITE	SULFIDE	0	0	0	0.003	0	0	0.187	0	0	0	52.503	0	0	46.664	0.001	0.012	0	0	0
47-6_C1_Sulf-4-2 	PYRITE	SULFIDE	0.007	0.038	0.03	0.001	0.003	0.027	0.003	0	0	0	52.104	0.054	0	47.184	0	0.023	0	0	0
47-6_C1_Sulf-4-3 	PYRITE	SULFIDE	0	0	0	0	0.005	0.032	0	0	0	0	51.958	0	0	46.441	0	0.061	0	0	0
DEN-642_C1_Sulf-3-1 	PYRITE	SULFIDE	0	0	0.013	0	0	0.027	4.246	0	0	0	50.463	0	0	45.135	0	0.036	0	0	0
DEN-642_C1_Sulf-3-2 	PYRITE	SULFIDE	0.017	0	0.053	0	0	0.039	0.477	0	0	0	47.419	0	0.012	42.518	0.036	0.018	0	0	0
DEN-642_C1_Sulf-3-3 	PYRITE	SULFIDE	0.007	0	0.01	0.004	0	0.009	0	0	0	0	49.985	0	0	43.972	0.045	0.005	0	0	0
DEN-642_C1_Sulf-3-4 	PYRITE	SULFIDE	0	0	0.027	0.008	0	0.086	0.019	0	0	0	50.934	0	0	44.32	0.041	0	0	0	0
DEN-642_C1_Sulf-3-5 	PYRITE	SULFIDE	0	0	0.004	0.031	0.02	0	0.489	0	0	0	49.863	0.011	0.034	43.862	0.053	0	0	0	0
DEN-642_C1_Sulf-6-1 	PYRITE	SULFIDE	0	0	0.013	0.008	0.006	0.008	0.479	0	0	0	49.106	0.03	0.052	43.973	0.097	0	0	0	0
DEN-642_C1_Sulf-6-2 	PYRITE	SULFIDE	0	0	0	0	0.01	0.222	0.866	0	0	0	50.374	0.041	0.015	43.681	0	0.006	0	0	0
DEN-642_C1_Sulf-6-3 	PYRITE	SULFIDE	0	0.033	0.021	0.008	0	0.057	0.269	0	0	0	48.693	0.041	0.044	43.389	0	0	0	0	0
DEN-642_C1_Sulf-6-4 	PYRITE	SULFIDE	0	0	0	0.005	0	0	0.431	0	0.018	0	49.337	0	0.036	43.59	0.014	0	0	0	0
DEN-642_C1_Sulf-2-1 	CHALCOPYRITE	SULFIDE	0.002	0	0	0	0.008	24.706	0.276	0	0.053	0.083	34.776	0.031	0.053	34.072	0.007	0	0	0	0
GUUD-205-11_C1_Sulf-1-1 	PYRITE	SULFIDE	0.006	0	0.021	0.003	0	0	0.031	0	0	0	52.415	0	0	46.268	0	0.058	0	0	0
GUUD-205-11_C1_Sulf-1-3 	PYRITE	SULFIDE	0	0	0.003	0.012	0.004	0	0.019	0	0.018	0	51.482	0.008	0	46.304	0	0	0	0	0
