"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"507","41439","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.0792,0,0.0783276,0.011,0.668,50.45,0.54,0.551,0.052825,0.015,0.024,0,0,0.017,0.015,0,0,0,0,0.14,7.524569,0,60.1659216
"508","41440","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",5.992,0.02036151,0.47,0,0.656,50.06,0.836,0.522,0.02010521,0,0.047,0,0,0,0,0,0,0,0,0.6,0.04,0,59.26346672
"509","41441","samp. 488534","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.2,0.06,0.1715531,0.08,7.31,27.04,16.09,1.094,0.1,0,0.025,0,0.73,0.05,0,0,0,0.13692,0,0.19,0.01,0,53.2874731
"510","41442","samp. 488534","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.01,0.024,0.013,0,0.778,50.65,1.065,0.538,0,0.019,0.01,0,0,0.0025,0.0105,0,0,0,0,0.01,7.524569,0,60.654569
"511","41443","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.04038674,0,0,0,0.598,51.31,0.797,0.368,0.03,0.015,0.029,0,0,0,0.03,0,0,0,0,0.01,0.01,0,53.23738674
"512","41444","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.12,0.04,0.03233005,0.0138,4.43,28.2,19.94,0.566,0.04,0,0.028,0,0.2138,0.04,0.2,0,0,0,0,0.2,0.01,0,54.07393005
"513","41445","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.05,0,0.04,0,4.53,28.55,20.63,0.664,0,0,0,0,0,0,0,0,0,0,0,0,7.524569,0,61.988569
"514","41446","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.092,0.01,0.1222115,0.0138,0.426,51.71,0.412,0.341,0.04,0.015,0,0,0,0,0.01,0,0,0.02,0,0.14,0.04,0,53.3920115
"515","41447","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.01,0,0.03044188,0,0.476,51.4,0.548,0.336,0.01,0,0.026,0,0,0,0.01,0,0,0,0,0.01,0.04,0,52.89644188
"516","41448","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.1,0.03,0.09027732,0.01,0.476,51.95,0.478,0.367,0.02934626,0,0.035,0,0,0,0.045,0,0,0.01,0,0.14,0.04,0,53.80062358
"517","41449","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.2,0,0.1,0,3.97,28.55,20.82,0.541,0.7517,0.041,0,0,0.14,0.14,0.054,0,0,0,0,0.2,0.18,0,55.6877
"518","41450","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.03,0,0.005,0,0.505,52.5,0.587,0.417,0.02,0.018,0.044,0,0,0.0025,0.052,0,0,0,0,0,0.01,0,54.1905
"519","41451","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.13,0,0.01,0,0.423,52.48,0.435,0.356,0,0.034,0.022,0,0.0585,0,0.01,0,0,0.00871,0,0.14,0.01,0,54.11721
"520","41452","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.05,0,0.02,0.01,0.536,52,0.553,0.405,0,0,0,0,0,0,0,0,0,0,0,0.01,0.18,0,53.764
"521","41453","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.2,0.024,0,0.07,3.33,29.12,20.76,0.483,0,0.011,0.01,0,0.216,0,0.2,0,0,0.02,0,0.19,0.01,0,54.644
"522","41454","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.0241,0,0.019,0.04,0.411,52.6,0.457,0.336,0.01311409,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0,53.95021409
"523","41455","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.03580129,0.02,0.02,0.002,0.581,51.37,0.809,0.402,0,0.022,0.01,0,0,0.0039,0,0,0,0,0,0.01,0.01,0,53.29570129
"524","41456","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",1.56,0.04,0.24,0.144,0.671,51.19,1.12,0.412,0.2688,0,0.043,0,0,0,0.048,0,0,0.02,0,0.6,0.18,0,56.5368
"525","41457","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.03,0,0.01,0,0.598,51.1,0.888,0.384,0,0,0,0,0.0075,0,0,0,0,0,0,0.14,0.01,0,53.1675
"526","41458","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.1001534,0.04,0.15,4.21,28.03,20.4,0.54,0.03332574,0.019,0.014,0,1.2,0.04,0.03,0,0,0.02,0,0.6,0.01,0,55.43647914
"527","41459","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.45,0,0.2036301,0,3.4,28.12,21.35,0.486,0.224,0,0,0,0,0.03,0,0,0,0.00871,0,0.19,0.015,0,54.4773401
"528","41460","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.01,0,0,0,0.531,51.26,0.64,0.43,0.028,0.047,0.01,0,0,0.0039,0,0,0,0,0,0,0.18,0,53.1399
"529","41461","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.09134862,0.01,0.01,3.43,28.8,20.72,0.495,0.02934626,0,0.043,0,0.17,0,0.0270666666666667,0,0,0,0,0.19,0.04,0,54.0557615466667
"530","41462","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",1.08,0,0,0,0.702,51.49,1.152,0.447,0.13,0.016,0,0,0,0,0,0,0,0,0,0.6,0.01,0,55.627
"531","41463","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.2503451,0,0.22,0,0.566,51.87,0.795,0.461,0.03,0,0,0,0,0,0.027,0,0,0.01,0,0.2,0.015,0,54.4443451
"532","41464","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0.005,0,0,0.633,54.34,0.552,0.463,0,0,0.013,0,0,0,0,0,0,0,0,0,7.524569,0,63.530569
"533","41465","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.016,0.03049864,0.013,0,3.98,28.64,20.8,0.605,0,0.024,0.017,0,0,0,0,0,0,0.02,0,0.01,0.04,0,54.19549864
"534","41466","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.046,0,0.01,0,0.479,51.49,0.635,0.326,0.02,0.06,0.04,0,0,0,0.01,0,0,0,0,0.01,0.04,0,53.166
"535","41467","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.18,0.2128702,0.06,0.18,3.63,29.12,21.7,0.602,0,0.021,0,0,1.2,0.009,0.07,0,0,0.03,0,0.6,0.01,0,57.6248702
"536","41468","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0,0.1001534,0.1,0.15,4.04,29.03,21.25,0.576,0.44,0.018,0.018,0,1.25,0.06,0.045,0,0,0.02,0,0.6,0.01,0,57.7071534
"537","41469","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.07,0,0.04,0,3.37,29.64,21.05,0.534,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,54.784
