SAMPLE NAME,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,FeOT,CaO,MgO,MnO,K2O,Na2O,F,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
samp. 241,"LEUCITITE, PHLOGOPITE",PHLOGOPITE,38.41,3.03,13.43,0.4,6.87,0.04,21.48,0.06,9.77,0.37,1.03,0.6080786627053634,-0.06571941659317296,-0.08893751065842981,0.22215897072041169,0.38982737060308925,0.0391240948644387,0.1113937324035583,-0.12660239593598177,-0.36606875776065206,-0.36624975176943025,0.0018250010986683614
samp. 155,"LEUCITITE, OLIVINE",PHLOGOPITE,35.55,9.83,14,0.04,7.07,0.07,16.87,0.12,7.48,0.78,3.02,-1.17874673956318,2.8926012736133684,-1.7151656787553746,0.7610038840962525,0.28950996309982113,0.9221087216328772,-0.4165303815653526,0.7970070702510423,-1.526945437691167,0.6847892431860007,-0.013049358004154576
samp. B116,"ANKARATRITE, PHLOGOPITE-KALSILITE",PHLOGOPITE,39.09,2.55,12.6,0.53,9.16,0,20.38,0.05,9.95,0.57,0.45,0.5143111924415706,-0.21272794238893802,-0.035704148041029254,-0.13091798631365978,0.445267396855894,-0.06566996764684539,-0.0022663745163178095,-0.7822072227675799,-0.16985727136113374,-0.5018791350124369,0.008776830558232421
samp. B116,"ANKARATRITE, PHLOGOPITE-KALSILITE",PHLOGOPITE,38.73,2.09,14.19,0.47,9.63,0.02,19.64,0.04,9.34,0.55,0.54,0.1865303116222008,-0.1542860339639355,0.33878392759765164,0.015011467444005458,0.45334018024707523,0.21348912983269902,0.031166256980962023,-0.5977239024150225,0.08540671501799663,-0.3354373835495469,-0.03478945052537989
samp. B116,"ANKARATRITE, PHLOGOPITE-KALSILITE",PHLOGOPITE,39.89,2.08,11.45,0.56,8.21,0.1,22.24,0.01,9.91,0.21,1.04,1.0753308421137324,-0.3771031146705654,-0.03907619277905715,0.0949983059011925,0.2317117769799718,-0.3973622008344156,0.001986157274862215,-0.2848822664817121,0.11729305148250818,-0.17343328478455827,-0.018368445993341326
samp. B116,"ANKARATRITE, PHLOGOPITE-KALSILITE",PHLOGOPITE,40.47,1.99,11.77,0.22,8.05,0.04,21.55,0.04,10.37,0.16,0.98,1.0616299506382065,-0.7617200482702705,-0.09391817315358676,-0.1532928296572844,-0.19325342275691035,-0.2664679149620752,0.12149069906779608,-0.12153474738362678,-0.16627482471542826,-0.29053902886595007,0.026195122376453592
samp. B43,"LAMPROPHYRE, HORNBLENDE",PHLOGOPITE,40.4,2.7,13.96,0.15,6.79,0.02,21.92,0.09,8.72,1.18,1.12,0.49029367598982526,0.9924106613529441,0.552966890915413,-0.4654372043377299,-0.030349968791976274,1.091783374286789,-0.005884886044437853,-0.8857378226868817,-0.28390387754050245,-0.2794351711446897,-0.174997681308527
samp. A45B,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,38.41,5.59,15.58,0,7.6,0.14,17.89,0.11,8.67,0.97,4.44,0.013285491273388406,2.1418940091737837,-0.8188830982532147,-0.4374526000620978,-0.0979398961963446,1.3427527356653095,-0.6439331293416233,1.335313792671665,-0.3096775434811848,-0.32637436049910684,-0.2174019003665783
samp. A45B,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,38.34,4.66,14.05,0.12,6.63,0.11,20.72,0.08,8.89,1.27,3.87,0.4742996245259895,2.2297781930692864,-0.5485175608881734,-0.5040189156765802,-0.04233214093597468,1.330976068654069,-0.41713472436979254,0.5627499804331249,-0.2092474479267411,-0.7477486353000891,-0.2067856902317926
samp. B60,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,40.35,2.55,13.15,0.57,6.33,0,21.39,0.04,9.71,0.99,1.89,1.0763438970160748,0.7144454658959318,0.04991424386712445,-0.6163919648167179,0.4571446382047766,0.6123625592070042,-0.3383350833127979,-0.446645067882794,-0.01577272736061683,-0.6435560023259231,-0.050071990966784496
samp. B60,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,40.34,2.31,14.67,0.43,5.97,0.11,21.79,0.03,8.52,0.97,2.23,0.7939446824796392,1.1364453711268327,0.5753273836260887,-0.3107988760247242,0.29043615659914623,1.0220724528314327,-0.29476269185139053,-0.14818924899813812,0.23882127593064234,-0.1547584097125169,-0.17251156420850594
samp. B60,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,41.05,2.55,13.63,0.4,6.95,0.09,21.33,0.05,9.18,0.97,2.86,1.0594351633247607,1.0972517935942632,0.10942965130620291,-0.702372761248919,0.09833027850060216,0.8722603219573455,-0.4714818603627752,0.09190659338319174,0.25573027630728157,-0.37366781882855893,-0.2035749242189854
samp. B36,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,40.76,5.35,12.73,0,4.89,0.05,21.11,0.1,8.8,0.95,3.4,0.7822466122233712,1.8664913296074248,-0.6631426259185749,-0.49529440560468835,-0.3410107191437902,1.0729278333585173,-0.43166174991561335,0.5196188097071675,-0.6594652247231526,0.10719872725195698,-0.12627033068297436
samp. B36,"LAMPROPHYRE, PHLOGOPITE",PHLOGOPITE,40.91,5.22,12.03,0.01,5.27,0.01,21.24,0.08,9.48,0.94,3.57,1.0374312067098015,1.6402068678645172,-0.933271391165049,-0.7013750138545194,-0.3955615079149385,0.9196042505827708,-0.46895082831404855,0.563052850543844,-0.6679767203377615,-0.21567284421050945,-0.11865988536751154
samp. 4,"TRACHYANDESITE, BIOTITE",BIOTITE,36.69,4.53,14.51,0,16.92,0.05,12.67,0.34,9.18,0.45,0.29,-1.6608327542286454,-0.06364708671537922,-0.5608423437868179,-0.12297674527850355,-0.006063233436071326,-0.04573398306045357,0.07022485498703382,-0.341088544846884,-0.3697135665351865,-0.17568603960959517,-0.023862263403283346
