"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"31","[425] DALRYMPLE G. B. (1976)","samp. A7-53-11","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / YURYAKU / DREDGE 53D / POST-SHIELD STAGE",NA,32.71,32.71,-172.2,-172.2,"subaquatic",NA,NA,"BASALT, ALKALINE",NA,NA,NA,"slightly altered","MONTMORILLONITE",NA,NA,NA,NA,"secondary",59.4,0.3,16.3,0.03,3.9,3.53,1.1,0.19,4.66,5.86,0.06,11.31,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"32","[425] DALRYMPLE G. B. (1976)","samp. A7-53-12","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / YURYAKU / DREDGE 53D / POST-SHIELD STAGE",NA,32.71,32.71,-172.2,-172.2,"subaquatic",NA,NA,"BASALT, ALKALINE",NA,NA,NA,"slightly altered","MONTMORILLONITE","A7-53-12 G1",NA,NA,NA,"secondary",35.5,0.4,5.8,0,32.1,0.35,8.8,0,1.46,0.36,0.03,18.6,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"33","[425] DALRYMPLE G. B. (1976)","samp. A7-53-12","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / YURYAKU / DREDGE 53D / POST-SHIELD STAGE",NA,32.71,32.71,-172.2,-172.2,"subaquatic",NA,NA,"BASALT, ALKALINE",NA,NA,NA,"slightly altered","MONTMORILLONITE","A7-53-12 G2",NA,NA,NA,"secondary",51.4,0,7.3,0.12,13.8,0.41,12,0,3.98,1.2,0.05,14.43,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"34","[425] DALRYMPLE G. B. (1976)","samp. A7-55-25","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / DAIKAKUJI / DREDGE 55D / POST-SHIELD STAGE",NA,32.14,32.14,-172.26,-172.26,"subaquatic",-1259,-1360,"BASALT, TRANSITIONAL","INTERGRANULAR TO INTERSERTAL, NONVESICULAR",NA,NA,NA,"MONTMORILLONITE",NA,NA,NA,NA,"secondary",50.1,0.09,4.45,0.03,12.3,0.46,15.2,0.11,3.33,1.22,0,11.13,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"35","[425] DALRYMPLE G. B. (1976)","samp. A7-55-29","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / DAIKAKUJI / DREDGE 55D / SHIELD STAGE",NA,32.12,32.12,-172.28,-172.28,"subaquatic",NA,NA,"THOLEIITE","INTERSERTAL, NONVESICULAR",NA,NA,"extensively altered","MONTMORILLONITE",NA,NA,NA,NA,"secondary",47.8,0.23,3.8,0,14.3,0.52,15.5,0,2.9,1.08,0.76,12.67,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"36","[652] FURNES H. (1980)","samp. 17-SM","OCEAN ISLAND","AZORES / SANTA MARIA","BEDDED PILLOW LAVA/HYALOCLASTITE DEPOSIT",36.97,36.97,-25.12,-25.12,"subaerial",NA,NA,"BASALT, ALKALINE, OLIVINE",NA,NA,NA,"slightly altered","PALAGONITE",NA,NA,NA,NA,"secondary",40.5,2.45,11.5,0.03,12.98,7.03,10.65,0.17,0.79,2.03,0.27,12.67,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"37","[652] FURNES H. (1980)","samp. 25-SM","OCEAN ISLAND","AZORES / SANTA MARIA","BEDDED PILLOW LAVA/HYALOCLASTITE DEPOSIT",36.97,36.97,-25.12,-25.12,"subaerial",NA,NA,"BASALT, ALKALINE, OLIVINE",NA,NA,NA,"slightly altered","PALAGONITE",NA,NA,NA,NA,"secondary",44,2,11.8,0.03,13.6,4.88,7.83,0.15,1.26,2.1,0.17,14.43,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"38","[652] FURNES H. (1980)","samp. 27-SM","OCEAN ISLAND","AZORES / SANTA MARIA","BEDDED PILLOW LAVA/HYALOCLASTITE DEPOSIT",36.97,36.97,-25.12,-25.12,"subaerial",NA,NA,"BASALT, ALKALINE, OLIVINE",NA,NA,NA,"slightly altered","PALAGONITE",NA,NA,NA,NA,"secondary",42,1.85,12.3,0.07,13.8,4.69,7.36,0.19,1.26,1.72,0.17,16.99,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"39","[930] BREY G. P. (1980)","samp. GC84","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / ROQUE NUBLO FORMATION",NA,28,28,-15.6,-15.6,"subaerial",NA,NA,"TEPHRITE",NA,NA,NA,"slightly altered","CLAY MINERAL",NA,NA,NA,NA,"secondary",45,1.13,28.4,0,5.7,1,1.4,0.09,0.4,0.4,0.27,18.6,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"40","[996] ALIBERT C. (1991)","samp. 119-738C-119-738C-36R-1,140-144","OCEANIC PLATEAU","KERGUELEN PLATEAU / SOUTHERN KERGUELEN PLATEAU / SITE 738","HOLE 738C",-62.709,-62.709,82.7875,82.7875,"subaquatic",-2263,-2263,"THOLEIITE","APHYRIC, INTERGRANULAR TO INTERSERTAL",NA,NA,"slightly altered","CLAY MINERAL",NA,NA,"core",NA,"secondary",53.26,0.94,2.44,0,16.88,0.21,7.44,0,8.41,0.16,0.06,14.43,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"41","[996] ALIBERT C. (1991)","samp. 119-738C-119-738C-36R-1,140-144","OCEANIC PLATEAU","KERGUELEN PLATEAU / SOUTHERN KERGUELEN PLATEAU / SITE 738","HOLE 738C",-62.709,-62.709,82.7875,82.7875,"subaquatic",-2263,-2263,"THOLEIITE","APHYRIC, INTERGRANULAR TO INTERSERTAL",NA,NA,"slightly altered","CLAY MINERAL",NA,NA,"rim",NA,"secondary",48.33,0.09,4.63,0.03,14.49,0.89,17.08,0.12,0.52,0.16,0,7.75,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
