"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"174","111630","samp. SYENITE","FELDSPAR","LABRADORITE","SYENITE",52.08291,0.015,30.24054,0,0.22504,12.85812,0,0,0.03762,4.07385,0.0439,0,1e-05,0.002,0,0,0,0,0,0,0,0,99.57899
"175","111631","samp. SYENITE","FELDSPAR","LABRADORITE","SYENITE",51.68097,0.01,30.75534,0.008,0.3201,13.01652,0.05,0.03,0.01782,4.42431,0,0,0.0295,0.036,5e-04,0,0,0,0,0,0,0,100.37906
"176","111632","samp. SYENITE","FELDSPAR","LABRADORITE","SYENITE",53.39169,0.03,29.47824,0.011,0.2425,11.76714,0,0.0209,0.05544,4.60845,0.01,0,0.0344,0.003595,0.018,0,0,0,0,0,0,0,99.671355
"177","111633","samp. SYENITE","FELDSPAR","LABRADORITE","SYENITE",53.8857,0,28.98819,0,0.30652,11.45331,0,0.000256,0.04554,5.14701,0,0,0.09,0.0032,0.0053,0,0,0,0,0,0,0,99.925026
"178","111758","samp. GF","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.93,0.065,20.95,0.05,0.17,1.2,0,0,2.96,8.64,0.00757973102072313,0,0,0.0086,0.01,0,0,0,0,0,0,0,99.9911797310207
"179","111759","samp. GF","FELDSPAR","ANORTHOCLASE","NOT GIVEN",66.74,0.07,19.41,0.0119,0,0.09,0,0.014,6.35,7.27,0,0,0,0.005,0,0,0,0,0,0,0,0,99.9609
"180","111760","samp. GF","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.56,0,20.23,0,0.11,1.02,0,0,6.3,6.64,0,0,0.0162,0,0,0,0,0,0,0,0,0,99.8762
"181","111761","samp. GF","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.92,0.067,19.75,0,0.28,0.74,0.0061,0,6.99,6.37,0.025,0,0,0.009,0,0,0,0,0,0,0,0,100.1571
"182","111762","samp. GF","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.32,0.03,19.51,0.013,0.02,0.58,0.002,0.01,9.2,4.9,0.004,0,0,5e-04,0,0,0,0,0,0,0,0,99.5895
"183","119807","samp. BT-1B/BT-26","FELDSPAR","ANORTHOCLASE","TRACHYTE",66.91,0.04,18.15,0.05,0.34,0.07,0.01,0.01,6.49,6.98,0,0,0,0.02,0,0,0,0,0,0,0,0,99.07
"184","119808","samp. BT-1B/BT-26","FELDSPAR","ANORTHOCLASE","TRACHYTE",67.22,0.03,15.84,0.0472,2.54,0.02,0.01,0.02,5.88,7.32,0.21,0,0,0.03,0.008,0,0,0,0,0,0,0,99.1752
"185","122282","samp. BD-3732","FELDSPAR","ANORTHOCLASE","HAWAIITE",60.73,0.29,23.99,0.018,0.9,3.88,0.12,0.2,4.76,5.54,0.03,0,0.054,0.0159,0.019,0,0,0,0,0,0,0,100.5469
"186","122286","samp. BD-3841","FELDSPAR","ANORTHOCLASE","HAWAIITE",64.52,0.19,20.82,0,0.1591,1.06,0,0,6.13,6.24,0,0,0.012423,1e-05,0.0041,0,0,0,0,0,0,0,99.135633
"187","126943","samp. TH818-14","FELDSPAR","ANORTHOCLASE","LHERZOLITE, XENOLITH",64.7,0.23,20.61,0,0.38,1.41,0,0.04,5.08,6.81,0,0,0.048,0.04,0.04,0,0,0,0,0,0,0,99.388
"188","126944","samp. TH818-14","FELDSPAR","ANORTHOCLASE","LHERZOLITE, XENOLITH",64.2,0.34,20.42,0,0.33,1.32,0.03,0.07,5.56,6.81,0.0353,0,0.126,0,0.013,0,0,0,0,0,0,0,99.2543
"189","126946","samp. TH818-14","FELDSPAR","ANORTHOCLASE","LHERZOLITE, XENOLITH",65.38,0.26,19.65,0,0.33,0.73,0.51,0,6.63,6.42,0,0,0.036464,0,0,0,0,0,0,0,0,0,99.946464
"190","126947","samp. TH818-14","FELDSPAR","ANORTHOCLASE","LHERZOLITE, XENOLITH",64.77,0.4,19.06,0.01,0.9,0.59,2.11,0.012,6.85,5.56,0,0,0.152,0.026,0,0,0,0,0,0,0,0,100.44
"191","126951","samp. TH818-14","FELDSPAR","ANORTHOCLASE","LHERZOLITE, XENOLITH",62.04,0.01,22.41,0.02,0.155,2.86,0,0,3.45,9.04,0.1486026,0,0,0.006,0.002,0,0,0,0,0,0,0,100.1416026
"192","137576","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",66.2,0.25,18.9,0.014,0.268,0.31,0,0.009,5.51,7.8,0.0172269443646024,0,0.002,0.008,0.0058,0,0,0,0,0,0,0,99.2940269443646
"193","137577","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",65.98,0.0339,19.23,0,0.411,0.33,0.0019,0,5.43,7.83,0,0,0.009,0,0.02,0,0,0,0,0,0,0,99.2758
"194","137578","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",66.49,0.055,19.19,0.008,0,0.27,0,0.03,5.48,8.14,0,0,0.008,0,0,0,0,0,0,0,0,0,99.671
"195","137579","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",66.34,0.0426,19.26,0.04,0.369,0.3,0,0,5.4,7.68,0.0108,0,0,0,0,0,0,0,0,0,0,0,99.4424
"196","137580","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",66.22,0.0382,18.88,0,0.439,0.26,0,0,5.56,7.6,0,0,0,0,0.004,0,0,0,0,0,0,0,99.0012
"197","137581","samp. TERS17.B","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",66.44,0,19.13,0.0104,0.2781,0.15,0,0.027,5.71,7.67,0.015,0,0.03,0,0.004,0,0,0,0,0,0,0,99.4645
"198","137582","samp. TERS17.I","FELDSPAR","ANORTHOCLASE","TRACHYTE, COMENDITIC",67.23,0.17,18.45,0.01,1.11,0.26,0.005,0,5.72,7.22,0,0,0,0.000958,0.02,0,0,0,0,0,0,0,100.195958
