"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"31","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",47.2,0,31,0.045,1.75,0.02,0.04,0.11,3.8,17,0.07,0.34,0,0.75904,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"32","[962] WOLFF J. A. (1987)","samp. S3/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","NEPHELINE","668","phenocryst",NA,NA,"primary",45.52,0.07,31.74,0.01,0.71,0.36,0.0437,0.02,3.86,16.48,0,5.22120000000001,0,0.5630977,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"33","[962] WOLFF J. A. (1987)","samp. S3/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","NEPHELINE","413",NA,NA,NA,"primary",46.53,0.01,31.36,0,1.1291,0.04,0.019,0.05,3.61,17.03,0,0.3,0.14,0.11,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"34","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","NEPHELINE","1290",NA,NA,NA,"primary",45.22,0.0186,31.95,0,0.85,0.016,0.016,0,4.08,17.6,0,0.3,0,8.08,NA,NA,NA,NA,NA,NA,NA,0.22,"FELDSPATHOID"
"35","[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","NEPHELINE","1329",NA,"rim",NA,"primary",45.96,0.13,31.12,0.036,1.337621,0.73,0.1284,0.0752,3.58,17.49,0.03,1.12,0.26,1.71,NA,NA,NA,NA,NA,NA,NA,1.25,"FELDSPATHOID"
"36","[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","NEPHELINE","1333",NA,"core",NA,"primary",46.62,0.008,30,0.11,1.3306,0.0582,0.0066,0.0752,3.4,17.3,0.02,6.47209999999998,1e-04,1.29,NA,NA,NA,NA,NA,NA,NA,0.35,"FELDSPATHOID"
"37","[962] WOLFF J. A. (1987)","samp. S1/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","SODALITE","158",NA,"rim",NA,"primary",37.58,0.1218,30.49,0,4.995635,0.2592,0.6125,0.0461,0.38,25.83,0,0.3,0.29,6.69,NA,NA,NA,NA,NA,NA,NA,1.25,"FELDSPATHOID"
"38","[962] WOLFF J. A. (1987)","samp. S1/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","SODALITE","159",NA,"core",NA,"primary",37.15,0.03,30.03,0.03,0.9839437,0.19,0.02,0.02,0.33,25.51,0.04,6.47209999999998,0,6.68,NA,NA,NA,NA,NA,NA,NA,2.95,"FELDSPATHOID"
"39","[962] WOLFF J. A. (1987)","samp. S3/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","SODALITE","429",NA,NA,NA,"primary",37.7,0.13,31.11,0,1.92,0.44,0.2263,0.013,0.56,23.93,0,7.68079999999999,0.26,5.85,NA,NA,NA,NA,NA,NA,NA,0.22,"FELDSPATHOID"
"40","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","SODALITE","1025",NA,NA,NA,"primary",37.45,0.098,30.12,0.088,1.23,0.4121,0.1355,0.12,0.53,24.06,0.111554439243124,1.12,0.14,6.82,NA,NA,NA,NA,NA,NA,NA,1.25,"FELDSPATHOID"
