"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","X1"
"28","514143","samp. P-20","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","PERIDOTITE, XENOLITH",0,0,0,0,27.821981096,0.21,0,0,0.11,1.66,0,0,0,0,29.334425988,0.088883338,0.118245315,27.359948529,0,32.022,0,0,NA
"29","512252","samp. TC0247","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,7.0480878,0.21,0,0,0.11,0.63,0,0,0,0,62.356812,3.43014572,5.3146819,0.514064817,0,38.01,0,0,NA
"30","512268","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,18.39412718,0.51,0,0,0.51,0.2,0,0,0,0,39.84473028,18.0896371,2.1106153,0.1244709,0.19390266,32.3,0,1.7,NA
"31","512232","samp. TC0223","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","PYROXENITE, SPINEL, XENOLITH",0,0,0,0,27.65337978,0.21,0,0,0.01,0.2,0,0,0,0,42.22446984,0.52578876,6.5861369,0,0.08617896,37.96,0,0.12,NA
"32","512086","samp. TC0247","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,7.0480878,0.16,0,0,0.51,1.66,0,0,0,0,62.356812,3.43014572,5.3146819,0.0426935187,0,38.01,0,0,NA
"33","512102","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,18.39412718,0.16,0,0,0.11,0.2,0,0,0,0,39.84473028,18.0896371,2.1106153,0.1244709,1.37886336,32.3,0,0,NA
"34","515230","samp. R10","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.55773108,0.51,0,0,0.51,1.66,0,0,0,0,7.80096444,36.65596430484,1.15956696,0.100821429,32.93113509,21.72,0,42.17,NA
"35","515225","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.43335306,0.21,0,0,0.51,0.2,0,0,0,0,11.36421084,9.96494888,4.2212306,0,0,20.55,0,44.07,NA
"36","515238","samp. R10","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.4748124,0.51,0,0,0.11,1.66,0,0,0,0,2.43064308,47.5087701,1.74189335,0.408264552,0,21.14,0,42.93,NA
"37","515231","samp. R10","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.15695746,0.21,0,0,0.51,0.2,0,0,0,0,35.8233522,32.97446652,7.6541591,0,32.93113509,20.41,0,44.15,NA
"38","515248","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.73738822,0.21,0,0,0.51,1.66,0,0,0,0,0.1272588,43.42764782,0.3317226095,0.46054233,0,21.58,0,42.74,NA
"39","515241","samp. R16","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.28133548,0.21,0,0,0.01,0.63,0,0,0,0,15.41104068,46.35704234,2.58105365,74.57051619,0,21.82,0,42.1,NA
"40","512605","samp. K14-3B2","SULFIDE","ARSENOPYRITE","PERIDOTITE, XENOLITH",0,0,0,0,36.1231280911429,0.16,0,0,0.11,0.2,0,0,0,0,25.1028890897142,4.25477564257143,0.43483761,0.52277778,0,22.0368571428571,0,41.77,NA
"41","515243","samp. R16","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.69592888,0.51,0,0,0.51,0.2,0,0,0,0,4.72130148,46.0691104,0.75015845,0.51033069,0,21.81,0,41.69,NA
"42","515244","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.10167834,0.51,0,0,0.01,1.66,0,0,0,0,0.26724348,42.136961602,0.07374439,0,0,21.05,0,42.45,NA
"43","515236","samp. R16","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,48.24485198,0.16,0,0,0.51,0.2,0,0,0,0,13.70577276,0.95142728,0.930599105416667,0.21160053,32.93113509,20.28,0,42.85,NA
"44","515229","samp. R10","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,48.79764318,0.51,0,0,0.51,0.2,0,0,0,0,8.15728908,36.51728126,1.08073675,0.26138889,0,21.18,0,42.37,NA
"45","515245","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,49.79266734,0.16,0,0,0.11,1.66,0,0,0,0,29.60039688,16.900353,1.9071825,0.53522487,32.93113509,21.69,0,41.77,NA
"46","515247","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,50.11052228,0.16,0,0,0.11,0.2,0,0,0,0,39.8956338,0.16274414,0.873489585,0.3734127,0,21.59,0,42.34,NA
"47","515228","samp. R14","SULFIDE","ARSENOPYRITE","VEIN, QUARTZ",0,0,0,0,48.18957286,0.16,0,0,0.11,0.63,0,0,0,0,6.66836112,27.06560236,3.31849755,0,0,20.32,0,43.63,NA
