"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg","value"
"81","DED-411_C2_Py 4","PYRITE","SULFIDE",0,0,56.779,0.177,0.106,0.05,0.016,0.047,0.036,0,0,0.12,38.431,0.111,0.016,0,0,0,0,0,0,0,95.889
"82","DED-411_C2_Py 5","PYRITE","SULFIDE",0,0,56.207,0.177,0.186,0.018,0,0.022,0.027,0,0,0.18,39.312,0.159,0,0.014,0,0,0.005,0,0.06,0,96.367
"83","DED-412_C1_Py 1","PYRITE","SULFIDE",0,0,44.698,0.066,0.017,0.022,0.053,0,0,0,0,0.08,51.707,0.191,0.01,0.01,0,0,0.002,0,0,0,96.856
"84","DED-412_C1_Py 2","PYRITE","SULFIDE",0,0.007,44.553,0.038,0.021,0.009,0.008,0,0.002,0,0,0.08,51.585,0.191,0,0,0,0,0,0,0,0,96.494
"85","DED-412_C1_Py 3","PYRITE","SULFIDE",0,0.02,41.841,0.013,0,0.067,0.013,0,0.007,0.02,1.955,0.09,49.161,0.213,1.767,0.01,0.01,0,0,0,1.041,0,96.228
"86","DED-412_C1_Py 4","PYRITE","SULFIDE",0,0.01,44.724,0.043,0.004,0,0.006,0,0.006,0,0,0.08,51.743,0.132,0.012,0.009,0.005,0.01,0,0,0.014,0,96.798
"87","DED-412_C1_Py 5","PYRITE","SULFIDE",0,0,44.562,0.037,0.028,0.03,0,0,0,0,0,0.13,50.829,0.281,0.005,0.011,0.0065,0.002,0,0,0.105,0,96.0265
"88","DED-412_C1_Py 6","PYRITE","SULFIDE",0,0,44.77,0.068,0.01,0.018,0,0,0,0.021,0,0.07,51.38,0.146,0.014,0.007,0.02,0,0.023,0,0.198,0,96.745
"89","EK-37_C1_Py 1","PYRITE","SULFIDE",0,0.04,45.17,0.042,0.007,0.024,0,0,0.065,0,0,0.16,51.001,0.153,0,0,0.01,0,0,0,0,0,96.672
"90","EK-37_C2_Py 2","PYRITE","SULFIDE",0,0,44.56,0.037,0,0.037,0,0,0.002,0,0,0.09,51.138,0.239,0,0,0,0,0.01,0,0.042,0,96.155
"91","EK-37_C2_Py 3","PYRITE","SULFIDE",0,0,44.536,0.041,0.013,0.004,0.063,0,0.01,0,0.007,0.08,50.928,0.271,0.016,0,0.0065,0,0,0,0.037,0,96.0125
"92","EK-37_C2_Py 4","PYRITE","SULFIDE",0,0,45.193,0.027,0.028,0.024,0.067,0.018,0,0,0,0.13,51.074,0.217,0.015,0.001,0.02,0.01,0.022,0,0.012,0,96.858
"93","EK-37_C2_Py 5","PYRITE","SULFIDE",0,0,45.029,0.073,0.006,0,0.011,0,0.005,0.022,0,0.08,50.454,0.26,0.009,0.018,0.01,0,0.012,0,0,0,95.989
"94","EK-37_C2_Py 6","PYRITE","SULFIDE",0,0,44.777,0.077,0.014,0.044,0.05,0.008,0.002,0.01,0,0.09,51.041,0.264,0,0,0.0065,0,0.018,0,0.302,0,96.7035
"95","EK-37_C2_Py 7","PYRITE","SULFIDE",0,0.002,44.458,0.015,0.028,0.001,0,0,0,0.01,0.014,0.12,50.538,0.133,0,0.02,0,0,0,0,0.251,0,95.59
"96","EK-37_C3_Py 8","PYRITE","SULFIDE",0.004,0,44.546,0.057,0.035,0.044,0.086,0,0.015,0,0,0.09,50.839,0.072,0,0,0.02,0,0.016,0,0.032,0,95.856
"97","EK-37_C3_Py 10","PYRITE","SULFIDE",0.02,0,44.648,0.04,0.011,0.004,0,0,0.008,0,0,0.08,50.633,0.223,0,0,0.01,0,0,0,0.014,0,95.691
"98","EK-37_C3_Py 11","PYRITE","SULFIDE",0,0.002,45.079,0.028,0,0.043,0,0,0,0,0.057,0.07,50.776,0.224,0,0,0,0,0,0,0.036,0,96.315
"99","EK-15_C1_Py 1","PYRITE","SULFIDE",0,0.043,44.452,0.143,0.017,0.081,0.018,0,0,0.004,0,0.08,50.405,0.16,0,0,0,0,0,0,0,0,95.403
"100","EK-15_C2_Py 5","PYRITE","SULFIDE",0,0.018,44.763,0.049,0.051,0.038,0,0,0.01,0,0,0.13,49.877,0.209,0,0,0,0,0.013,0,0.052,0,95.21
"101","EK-15_C3_Py 7","PYRITE","SULFIDE",0,0,44.954,0.107,0.043,0.043,0,0,0,0,0,0.08,50.489,0.158,0,0,0,0,0.011,0,0.028,0,95.913
"102","DED-413_C1_Py 1","PYRITE","SULFIDE",0,0,44.714,0.065,0,0.005,0.034,0,0,0,0,0.08,49.934,0.092,0,0.03,0.01,0,0,0,0.008,0,94.972
"103","ek216d 3c 1","ARSENOPYRITE","SULFIDE",42.54,0.013,35.5265,0.035,0.009,0.0075,0.043,0.024,0,0.01,0,0.16,22.049,0.0795,0.011,0.014,0.0065,0,0.126,0,0,0,100.654
"104","ek216d 3c 5","ARSENOPYRITE","SULFIDE",41.874,0.116,36.012,0.012,0.012,0.01,0.032,0,0,0,0,0.15,22.196,0,0,0.052,0,0,0.126,0,0,0,100.592
"105","ek216d 1c 2","ARSENOPYRITE","SULFIDE",41.7215,0,35.205,0.049,0.005,0.018,0.0135,0.0015,0.01,0,0.015,0.95,22.201,0.112,0.004,0,0.0015,0.001,0.126,0,0.005,0,100.439
"106","ek66a 1c 7","CHALCOPYRITE","SULFIDE",0.007,0.013,29.853,0.008,0,33.367,0,0.064,0.036,0,0,0.18,35.232,0.04,0.03,0,0.005,0.016,0.015,0,0.047,0,98.913
"107","ek66a 1c 9","CHALCOPYRITE","SULFIDE",0,0,29.934,0.039,0,33.799,0.04,0.102,0,0,0,0.08,34.642,0.023,0.022,0.011,0,0,0.004,0,0,0,98.696
"108","ek67b 1c 2","CHALCOPYRITE","SULFIDE",0,0,29.565,0.205,0.573,33.001,0,0.072,0.064,0,0,0.18,35.062,0.109,0.007,0.02,0.028,0,0.007,0,0,0,98.893
"109","ek67b 3c 3","CHALCOPYRITE","SULFIDE",0.048,0.018,29.525,0.164,0.326,33.532,0.124,0.066,0.03,0.021,0,0.18,35.019,0,0.017,0.008,0,0,0.029,0,0,0,99.107
"110","ek67b 5c 1","CHALCOPYRITE","SULFIDE",0,0,29.744,0.018,0.004,33.729,0.105,0.081,0,0,0,0.08,35.181,0.013,0.02,0.01,0,0.01,0.012,0,0.061,0,99.068
"111","ek67b 5c 4","CHALCOPYRITE","SULFIDE",0,0,29.989,0.037,0.061,33.712,0,0,0,0,0,0.13,35.393,0.059,0.019,0.015,0.013,0,0.029,0,0.006,0,99.463
"112","ek67b 5c 6","CHALCOPYRITE","SULFIDE",0.77,0,28.326,0.141,1.603,31.902,0,0.12,0.005,0,0,0.09,34.022,0.082,0.016,0.013,0,0.002,0.012,0,0.079,0,97.183
"113","ek67b 1c 9","CHALCOPYRITE","SULFIDE",0.064,0.01,29.701,0.179,0.374,33.073,0.073,0.039,0.008,0,0,0.08,34.786,0.061,0,0.015,0.011,0.002,0.016,0,0.032,0,98.524
"114","16-108_C1_Cpy 1","CHALCOPYRITE","SULFIDE",0,0,30.891,0.028,0,33.767,0.027,0,0,0,0,0.04,33.125,0.139,0,0.01,0.005,0,0.025,0,0,0,98.057
"115","16-108_C1_Cpy 2","CHALCOPYRITE","SULFIDE",0,0,30.474,0.07,0,34.277,0,0.018,0.01,0,0,0.07,33.325,0.235,0.04,0.01,0.02,0,0.012,0,0.028,0,98.589
"116","16-108_C1_Cpy 3","CHALCOPYRITE","SULFIDE",0,0,30.664,0.038,0.011,34.155,0.023,0,0,0,0,0.03,33.542,0.088,0.006,0.01,0.005,0,0.003,0,0.047,0,98.622
"117","ek67b 2c 3","SPHALERITE","SULFIDE",0.023,0,3.537,0.112,1.253,1.558,59.777,0.114,0.015,0,0,0.11,32.697,0.035,0,0.01,0.01,0,0.007,0.046,1.213,0,100.517
"118","DED-411_C1_Esf 1","SPHALERITE","SULFIDE",0,0,6.992,0.033,0,0.139,61.83,0,0.01,0,0,0.07,32.517,0.114,0,0,0.02,0,0.028,0,0.251,0,102.004
"119","JB-0905-3_C1_Sulf-1-1","ARSENOPYRITE","SULFIDE",44.327,0,34.373,0.007,0.028,0.055,0,0,0.005,0,0,0.95,19.032,0,0,0.055,0,0,0.189,0,0.016,0,99.037
"120","JB-0905-3_C1_Sulf-1-2","ARSENOPYRITE","SULFIDE",44.091,0.032,31.469,2.023,0,0.017,0.031,0,0,0.022,0,0.15,18.304,0,0.013,0.023,0.01,0,0.151,0.046,0,0,96.382
"121","JB-0905-3_C1_Sulf-1-3","ARSENOPYRITE","SULFIDE",43.432,0.037,31.143,2.157,0.072,0.028,0.007,0,0.002,0,0,0.15,18.666,0,0,0,0.0065,0,0.134,0,0.047,0,95.8815
"122","JB-0905-3_C1_Sulf-1-4","ARSENOPYRITE","SULFIDE",43.058,0.029,33.485,0.115,0,0.006,0.031,0,0.005,0,0.018,0.18,18.593,0,0,0.047,0,0,0.2,0,0,0,95.767
"123","JB-0905-3_C1_Sulf-1-5","ARSENOPYRITE","SULFIDE",40.983,0.01,33.713,0.129,0,0,0,0,0,0,0.006,0.16,19.877,0,0,0.023,0,0.001,0.149,0,0.011,0,95.062
"124","JB-0905-3_C1_Sulf-2-1","ARSENOPYRITE","SULFIDE",43.083,0.054,33.436,0.113,0.067,0,0.008,0,0.001,0,0,0.95,19.491,0,0,0.086,0,0,0.18,0,0,0,97.469
"125","JB-0905-3_C1_Sulf-2-2","ARSENOPYRITE","SULFIDE",42.638,0,33.156,0.017,0.095,0.039,0,0,0.008,0.007,0.087,0.16,19.323,0,0,0.157,0.02,0,0.143,0,0,0,95.85
"126","JB-0905-3_C1_Sulf-2-3","ARSENOPYRITE","SULFIDE",43.043,0,33.089,0.03,0.01,0,0,0,0.01,0,0.124,0.18,19.222,0,0,0.022,0,0,0.122,0,0.078,0,95.93
"127","JB-0905-3_C1_Sulf-3-1","ARSENOPYRITE","SULFIDE",45.592,0,32.007,1.512,0,0.05,0,0,0.052,0,0.049,0.578,18.376,0,0,0.005,0,0,0.131,0,0.035,0,98.387
"128","JB-0905-3_C1_Sulf-3-2","ARSENOPYRITE","SULFIDE",45.76,0.007,30.782,2.192,0.142,0.057,0,0,0.023,0,0,0.95,18.194,0.053,0,0.003,0,0.01,0.143,0,0.009,0,98.325
"129","JB-0905-3_C1_Sulf-4-1","ARSENOPYRITE","SULFIDE",44.905,0,33.244,0.009,0.506,0.032,0,0,0,0,0.014,0.87,19.444,0,0,0.052,0.01,0,0.196,0,0.042,0,99.324
"130","JB-0905-3_C1_Sulf-4-2","ARSENOPYRITE","SULFIDE",45.175,0,33.14,0.084,0,0.054,0,0,0,0.055,0.004,0.18,19.225,0,0,0.151,0.02,0.01,0.192,0,0.042,0,98.332
"131","JB-0905-3_C1_Sulf-4-3","ARSENOPYRITE","SULFIDE",43.44,0.116,33.284,0.262,0,0,0,0,0,0,0.07,0.16,19.934,0,0,0.008,0.0065,0,0.126,0,0,0,97.4065
"132","JB-0905-3_C1_Sulf-5-1","ARSENOPYRITE","SULFIDE",43.172,0.018,32.754,0.013,0.342,0.082,0,0,0.044,0.007,0.05,0.87,18.854,0,0,0.032,0,0,0.243,0,0.01,0,96.491
"133","JB-0905-3_C1_Sulf-5-2","ARSENOPYRITE","SULFIDE",42.595,0.046,33.476,0.082,0,0.042,0.007,0,0.04,0.006,0.001,0.18,19.359,0.023,0,0.051,0.028,0.01,0.209,0,0.001,0,96.156
"134","JB-0905-3_C1_Sulf-5-3","ARSENOPYRITE","SULFIDE",42.833,0.033,33.054,0.13,0.387,0.066,0,0,0,0.008,0.04,0.87,19.277,0.004,0,0.08,0,0,0.159,0,0,0,96.941
